 s,S -> m,M
x-axis: "Mass{p3+p4}&"  from 20.000000 to 320.000000 N_bins= 300
1.005000E+02 5.746729E-04 +/-  3.973535E-06
1.015000E+02 1.008045E-03 +/-  5.131392E-06
1.025000E+02 1.256296E-03 +/-  5.486823E-06
1.035000E+02 1.421388E-03 +/-  5.660934E-06
1.045000E+02 1.540196E-03 +/-  5.702382E-06
1.055000E+02 1.632409E-03 +/-  5.740036E-06
1.065000E+02 1.698890E-03 +/-  5.710799E-06
1.075000E+02 1.748544E-03 +/-  5.721224E-06
1.085000E+02 1.783664E-03 +/-  5.617998E-06
1.095000E+02 1.807583E-03 +/-  5.562220E-06
1.105000E+02 1.831060E-03 +/-  5.514604E-06
1.115000E+02 1.832659E-03 +/-  5.405093E-06
1.125000E+02 1.832275E-03 +/-  5.280666E-06
1.135000E+02 1.829369E-03 +/-  5.191354E-06
1.145000E+02 1.816449E-03 +/-  5.060638E-06
1.155000E+02 1.802749E-03 +/-  4.944191E-06
1.165000E+02 1.789296E-03 +/-  4.857448E-06
1.175000E+02 1.768165E-03 +/-  4.721420E-06
1.185000E+02 1.744122E-03 +/-  4.603177E-06
1.195000E+02 1.723799E-03 +/-  4.497572E-06
1.205000E+02 1.694337E-03 +/-  4.372635E-06
1.215000E+02 1.670610E-03 +/-  4.342803E-06
1.225000E+02 1.645554E-03 +/-  4.243763E-06
1.235000E+02 1.616270E-03 +/-  4.134824E-06
1.245000E+02 1.593061E-03 +/-  4.055914E-06
1.255000E+02 1.559514E-03 +/-  3.928077E-06
1.265000E+02 1.525058E-03 +/-  3.804674E-06
1.275000E+02 1.500275E-03 +/-  3.714305E-06
1.285000E+02 1.472360E-03 +/-  3.626230E-06
1.295000E+02 1.443936E-03 +/-  3.620205E-06
1.305000E+02 1.411211E-03 +/-  3.531124E-06
1.315000E+02 1.382041E-03 +/-  3.431923E-06
1.325000E+02 1.356546E-03 +/-  3.361494E-06
1.335000E+02 1.327939E-03 +/-  3.264387E-06
1.345000E+02 1.295245E-03 +/-  3.166367E-06
1.355000E+02 1.272736E-03 +/-  3.107990E-06
1.365000E+02 1.243392E-03 +/-  3.030040E-06
1.375000E+02 1.212641E-03 +/-  3.004890E-06
1.385000E+02 1.189664E-03 +/-  2.954975E-06
1.395000E+02 1.161853E-03 +/-  2.870492E-06
1.405000E+02 1.137910E-03 +/-  2.804482E-06
1.415000E+02 1.109572E-03 +/-  2.717239E-06
1.425000E+02 1.085611E-03 +/-  2.668149E-06
1.435000E+02 1.063193E-03 +/-  2.626183E-06
1.445000E+02 1.038438E-03 +/-  2.572797E-06
1.455000E+02 1.013713E-03 +/-  2.514639E-06
1.465000E+02 9.925645E-04 +/-  2.464612E-06
1.475000E+02 9.660587E-04 +/-  2.402591E-06
1.485000E+02 9.491600E-04 +/-  2.360022E-06
1.495000E+02 9.246696E-04 +/-  2.301380E-06
1.505000E+02 9.039089E-04 +/-  2.277984E-06
1.515000E+02 8.842901E-04 +/-  2.237206E-06
1.525000E+02 8.653880E-04 +/-  2.192842E-06
1.535000E+02 8.417556E-04 +/-  2.133303E-06
1.545000E+02 8.261156E-04 +/-  2.097777E-06
1.555000E+02 8.059531E-04 +/-  2.051571E-06
1.565000E+02 7.896532E-04 +/-  2.010497E-06
1.575000E+02 7.691587E-04 +/-  1.963862E-06
1.585000E+02 7.495495E-04 +/-  1.939436E-06
1.595000E+02 7.380128E-04 +/-  1.916245E-06
1.605000E+02 7.186102E-04 +/-  1.876146E-06
1.615000E+02 7.021280E-04 +/-  1.836049E-06
1.625000E+02 6.863655E-04 +/-  1.807517E-06
1.635000E+02 6.723951E-04 +/-  1.781485E-06
1.645000E+02 6.547823E-04 +/-  1.739442E-06
1.655000E+02 6.426933E-04 +/-  1.710688E-06
1.665000E+02 6.265119E-04 +/-  1.677062E-06
1.675000E+02 6.134669E-04 +/-  1.653771E-06
1.685000E+02 5.991103E-04 +/-  1.623395E-06
1.695000E+02 5.870469E-04 +/-  1.601568E-06
1.705000E+02 5.711234E-04 +/-  1.563712E-06
1.715000E+02 5.619917E-04 +/-  1.536714E-06
1.725000E+02 5.472848E-04 +/-  1.519886E-06
1.735000E+02 5.361246E-04 +/-  1.499055E-06
1.745000E+02 5.232619E-04 +/-  1.465202E-06
1.755000E+02 5.127428E-04 +/-  1.445231E-06
1.765000E+02 5.007894E-04 +/-  1.413071E-06
1.775000E+02 4.913089E-04 +/-  1.397349E-06
1.785000E+02 4.787602E-04 +/-  1.380233E-06
1.795000E+02 4.699914E-04 +/-  1.353490E-06
1.805000E+02 4.593937E-04 +/-  1.331887E-06
1.815000E+02 4.486768E-04 +/-  1.302060E-06
1.825000E+02 4.399779E-04 +/-  1.284704E-06
1.835000E+02 4.311533E-04 +/-  1.277677E-06
1.845000E+02 4.211883E-04 +/-  1.249490E-06
1.855000E+02 4.113353E-04 +/-  1.229908E-06
1.865000E+02 4.035514E-04 +/-  1.207832E-06
1.875000E+02 3.939619E-04 +/-  1.183569E-06
1.885000E+02 3.857626E-04 +/-  1.168000E-06
1.895000E+02 3.787482E-04 +/-  1.162350E-06
1.905000E+02 3.690612E-04 +/-  1.137788E-06
1.915000E+02 3.624009E-04 +/-  1.118152E-06
1.925000E+02 3.540248E-04 +/-  1.103803E-06
1.935000E+02 3.488522E-04 +/-  1.086458E-06
1.945000E+02 3.397078E-04 +/-  1.070132E-06
1.955000E+02 3.331753E-04 +/-  1.059418E-06
1.965000E+02 3.259599E-04 +/-  1.051012E-06
1.975000E+02 3.191687E-04 +/-  1.026479E-06
1.985000E+02 3.126951E-04 +/-  1.011005E-06
1.995000E+02 3.073775E-04 +/-  1.005668E-06
2.005000E+02 3.010370E-04 +/-  9.881981E-07
2.015000E+02 2.936039E-04 +/-  9.798279E-07
2.025000E+02 2.887438E-04 +/-  9.645949E-07
2.035000E+02 2.831497E-04 +/-  9.586014E-07
2.045000E+02 2.756289E-04 +/-  9.361721E-07
2.055000E+02 2.708136E-04 +/-  9.205627E-07
2.065000E+02 2.651306E-04 +/-  9.033258E-07
2.075000E+02 2.610888E-04 +/-  9.070158E-07
2.085000E+02 2.559493E-04 +/-  9.003569E-07
2.095000E+02 2.489951E-04 +/-  8.833093E-07
2.105000E+02 2.458912E-04 +/-  8.709083E-07
2.115000E+02 2.407033E-04 +/-  8.526316E-07
2.125000E+02 2.348704E-04 +/-  8.500105E-07
2.135000E+02 2.315335E-04 +/-  8.389391E-07
2.145000E+02 2.264384E-04 +/-  8.173097E-07
2.155000E+02 2.225569E-04 +/-  8.074018E-07
2.165000E+02 2.181154E-04 +/-  8.071240E-07
2.175000E+02 2.133709E-04 +/-  8.082973E-07
2.185000E+02 2.099372E-04 +/-  7.949181E-07
2.195000E+02 2.045425E-04 +/-  7.715164E-07
2.205000E+02 2.017049E-04 +/-  7.596298E-07
2.215000E+02 1.979704E-04 +/-  7.520450E-07
2.225000E+02 1.936283E-04 +/-  7.490097E-07
2.235000E+02 1.904967E-04 +/-  7.407973E-07
2.245000E+02 1.864246E-04 +/-  7.240660E-07
2.255000E+02 1.837900E-04 +/-  7.124787E-07
2.265000E+02 1.796573E-04 +/-  7.017832E-07
2.275000E+02 1.752985E-04 +/-  6.959167E-07
2.285000E+02 1.736129E-04 +/-  7.023409E-07
2.295000E+02 1.694135E-04 +/-  6.901399E-07
2.305000E+02 1.671328E-04 +/-  6.811095E-07
2.315000E+02 1.633162E-04 +/-  6.663788E-07
2.325000E+02 1.602619E-04 +/-  6.507844E-07
2.335000E+02 1.579716E-04 +/-  6.544958E-07
2.345000E+02 1.541934E-04 +/-  6.468673E-07
2.355000E+02 1.522812E-04 +/-  6.386641E-07
2.365000E+02 1.493123E-04 +/-  6.250180E-07
2.375000E+02 1.462181E-04 +/-  6.188415E-07
2.385000E+02 1.432601E-04 +/-  6.129899E-07
2.395000E+02 1.418525E-04 +/-  6.050860E-07
2.405000E+02 1.384582E-04 +/-  5.883796E-07
2.415000E+02 1.363055E-04 +/-  5.917065E-07
2.425000E+02 1.334715E-04 +/-  5.960399E-07
2.435000E+02 1.307998E-04 +/-  5.785254E-07
2.445000E+02 1.287827E-04 +/-  5.703007E-07
2.455000E+02 1.262565E-04 +/-  5.605407E-07
2.465000E+02 1.248990E-04 +/-  5.560623E-07
2.475000E+02 1.228473E-04 +/-  5.541474E-07
2.485000E+02 1.201005E-04 +/-  5.565578E-07
2.495000E+02 1.178818E-04 +/-  5.477727E-07
2.505000E+02 1.155137E-04 +/-  5.412733E-07
2.515000E+02 1.135100E-04 +/-  5.322176E-07
2.525000E+02 1.124781E-04 +/-  5.249719E-07
2.535000E+02 1.108924E-04 +/-  5.214617E-07
2.545000E+02 1.082874E-04 +/-  5.057974E-07
2.555000E+02 1.055876E-04 +/-  4.947047E-07
2.565000E+02 1.044959E-04 +/-  4.891048E-07
2.575000E+02 1.028510E-04 +/-  4.818027E-07
2.585000E+02 1.013621E-04 +/-  4.725245E-07
2.595000E+02 9.933005E-05 +/-  4.731156E-07
2.605000E+02 9.758084E-05 +/-  4.858098E-07
2.615000E+02 9.541025E-05 +/-  4.769653E-07
2.625000E+02 9.446016E-05 +/-  4.703814E-07
2.635000E+02 9.339537E-05 +/-  4.664343E-07
2.645000E+02 9.095383E-05 +/-  4.633152E-07
2.655000E+02 9.016874E-05 +/-  4.723448E-07
2.665000E+02 8.920837E-05 +/-  4.765608E-07
2.675000E+02 8.693120E-05 +/-  4.651010E-07
2.685000E+02 8.534141E-05 +/-  4.540081E-07
2.695000E+02 8.378704E-05 +/-  4.489635E-07
2.705000E+02 8.181779E-05 +/-  4.338608E-07
2.715000E+02 8.046327E-05 +/-  4.234237E-07
2.725000E+02 8.022126E-05 +/-  4.297924E-07
2.735000E+02 7.857410E-05 +/-  4.152669E-07
2.745000E+02 7.775220E-05 +/-  4.143071E-07
2.755000E+02 7.589250E-05 +/-  4.005628E-07
2.765000E+02 7.456917E-05 +/-  3.952661E-07
2.775000E+02 7.356197E-05 +/-  3.906365E-07
2.785000E+02 7.202829E-05 +/-  3.796219E-07
2.795000E+02 7.109817E-05 +/-  3.751552E-07
2.805000E+02 6.934387E-05 +/-  3.738995E-07
2.815000E+02 6.903184E-05 +/-  3.737804E-07
2.825000E+02 6.783619E-05 +/-  3.655134E-07
2.835000E+02 6.718476E-05 +/-  3.606831E-07
2.845000E+02 6.580029E-05 +/-  3.543343E-07
2.855000E+02 6.521303E-05 +/-  3.726625E-07
2.865000E+02 6.348261E-05 +/-  3.620680E-07
2.875000E+02 6.239430E-05 +/-  3.600437E-07
2.885000E+02 6.179120E-05 +/-  3.588989E-07
2.895000E+02 6.106778E-05 +/-  3.591040E-07
2.905000E+02 6.038469E-05 +/-  3.677290E-07
2.915000E+02 5.882066E-05 +/-  3.536114E-07
2.925000E+02 5.796491E-05 +/-  3.467023E-07
2.935000E+02 5.743628E-05 +/-  3.480423E-07
2.945000E+02 5.602010E-05 +/-  3.364134E-07
2.955000E+02 5.527488E-05 +/-  3.331975E-07
2.965000E+02 5.484837E-05 +/-  3.277636E-07
2.975000E+02 5.344788E-05 +/-  3.201478E-07
2.985000E+02 5.269682E-05 +/-  3.145078E-07
2.995000E+02 5.179009E-05 +/-  3.145832E-07
3.005000E+02 5.135504E-05 +/-  3.119141E-07
3.015000E+02 5.079670E-05 +/-  3.095336E-07
3.025000E+02 4.984161E-05 +/-  3.038549E-07
3.035000E+02 4.924394E-05 +/-  3.007280E-07
3.045000E+02 4.806425E-05 +/-  2.904241E-07
3.055000E+02 4.721334E-05 +/-  2.856495E-07
3.065000E+02 4.681967E-05 +/-  2.846772E-07
3.075000E+02 4.617171E-05 +/-  2.804618E-07
3.085000E+02 4.554526E-05 +/-  2.724890E-07
3.095000E+02 4.462026E-05 +/-  2.673788E-07
3.105000E+02 4.391279E-05 +/-  2.620385E-07
3.115000E+02 4.304780E-05 +/-  2.607418E-07
3.125000E+02 4.284663E-05 +/-  2.577569E-07
3.135000E+02 4.195059E-05 +/-  2.503213E-07
3.145000E+02 4.182547E-05 +/-  2.531403E-07
3.155000E+02 4.125966E-05 +/-  2.488657E-07
3.165000E+02 4.032566E-05 +/-  2.401025E-07
3.175000E+02 4.000411E-05 +/-  2.376360E-07
3.185000E+02 3.953787E-05 +/-  2.366403E-07
3.195000E+02 3.854331E-05 +/-  2.296254E-07
