 d,D -> m,M
x-axis: "Mass{p3+p4}"  from 20.000000 to 320.000000 N_bins= 300
1.005000E+02 8.706249E-02 +/-  5.022559E-04
1.015000E+02 1.308760E-01 +/-  5.596792E-04
1.025000E+02 1.403427E-01 +/-  5.336143E-04
1.035000E+02 1.389314E-01 +/-  4.840346E-04
1.045000E+02 1.331242E-01 +/-  4.364811E-04
1.055000E+02 1.257438E-01 +/-  3.924122E-04
1.065000E+02 1.182055E-01 +/-  3.560471E-04
1.075000E+02 1.105918E-01 +/-  3.231775E-04
1.085000E+02 1.028279E-01 +/-  2.903612E-04
1.095000E+02 9.651995E-02 +/-  2.691999E-04
1.105000E+02 8.954906E-02 +/-  2.420006E-04
1.115000E+02 8.409231E-02 +/-  2.249459E-04
1.125000E+02 7.855016E-02 +/-  2.076754E-04
1.135000E+02 7.344746E-02 +/-  1.931330E-04
1.145000E+02 6.891538E-02 +/-  1.787577E-04
1.155000E+02 6.464127E-02 +/-  1.660747E-04
1.165000E+02 6.064363E-02 +/-  1.543289E-04
1.175000E+02 5.713782E-02 +/-  1.445759E-04
1.185000E+02 5.382838E-02 +/-  1.350863E-04
1.195000E+02 5.074267E-02 +/-  1.259014E-04
1.205000E+02 4.786090E-02 +/-  1.191019E-04
1.215000E+02 4.541442E-02 +/-  1.158657E-04
1.225000E+02 4.296240E-02 +/-  1.121146E-04
1.235000E+02 4.055409E-02 +/-  1.062346E-04
1.245000E+02 3.854582E-02 +/-  1.004964E-04
1.255000E+02 3.652779E-02 +/-  9.437913E-05
1.265000E+02 3.473285E-02 +/-  8.986330E-05
1.275000E+02 3.299753E-02 +/-  8.593122E-05
1.285000E+02 3.155849E-02 +/-  8.384903E-05
1.295000E+02 2.995514E-02 +/-  7.980602E-05
1.305000E+02 2.854895E-02 +/-  7.621408E-05
1.315000E+02 2.725697E-02 +/-  7.386011E-05
1.325000E+02 2.598783E-02 +/-  7.106312E-05
1.335000E+02 2.494037E-02 +/-  6.881605E-05
1.345000E+02 2.381841E-02 +/-  6.572601E-05
1.355000E+02 2.266722E-02 +/-  6.346104E-05
1.365000E+02 2.174911E-02 +/-  6.278308E-05
1.375000E+02 2.087221E-02 +/-  6.003431E-05
1.385000E+02 2.003250E-02 +/-  5.771268E-05
1.395000E+02 1.922468E-02 +/-  5.607616E-05
1.405000E+02 1.839826E-02 +/-  5.437854E-05
1.415000E+02 1.770363E-02 +/-  5.257086E-05
1.425000E+02 1.698415E-02 +/-  5.071800E-05
1.435000E+02 1.634427E-02 +/-  4.987663E-05
1.445000E+02 1.571713E-02 +/-  4.793537E-05
1.455000E+02 1.514731E-02 +/-  4.621366E-05
1.465000E+02 1.445061E-02 +/-  4.498943E-05
1.475000E+02 1.405533E-02 +/-  4.524022E-05
1.485000E+02 1.357565E-02 +/-  4.395969E-05
1.495000E+02 1.299388E-02 +/-  4.201035E-05
1.505000E+02 1.249744E-02 +/-  4.036791E-05
1.515000E+02 1.214070E-02 +/-  3.952967E-05
1.525000E+02 1.171992E-02 +/-  3.994058E-05
1.535000E+02 1.127371E-02 +/-  3.889860E-05
1.545000E+02 1.089236E-02 +/-  3.751031E-05
1.555000E+02 1.056965E-02 +/-  3.631443E-05
1.565000E+02 1.013098E-02 +/-  3.488622E-05
1.575000E+02 9.889987E-03 +/-  3.439525E-05
1.585000E+02 9.550037E-03 +/-  3.430777E-05
1.595000E+02 9.178121E-03 +/-  3.381140E-05
1.605000E+02 8.922572E-03 +/-  3.277150E-05
1.615000E+02 8.660066E-03 +/-  3.187038E-05
1.625000E+02 8.393444E-03 +/-  3.080190E-05
1.635000E+02 8.082238E-03 +/-  2.976824E-05
1.645000E+02 7.854044E-03 +/-  2.972623E-05
1.655000E+02 7.623373E-03 +/-  2.957225E-05
1.665000E+02 7.386313E-03 +/-  2.917844E-05
1.675000E+02 7.151995E-03 +/-  2.851240E-05
1.685000E+02 6.903294E-03 +/-  2.761524E-05
1.695000E+02 6.774822E-03 +/-  2.705758E-05
1.705000E+02 6.533622E-03 +/-  2.614393E-05
1.715000E+02 6.395561E-03 +/-  2.552542E-05
1.725000E+02 6.202049E-03 +/-  2.557196E-05
1.735000E+02 5.932724E-03 +/-  2.507014E-05
1.745000E+02 5.777735E-03 +/-  2.497702E-05
1.755000E+02 5.703244E-03 +/-  2.500032E-05
1.765000E+02 5.527207E-03 +/-  2.426090E-05
1.775000E+02 5.329515E-03 +/-  2.344955E-05
1.785000E+02 5.178090E-03 +/-  2.284587E-05
1.795000E+02 5.071366E-03 +/-  2.233893E-05
1.805000E+02 4.914246E-03 +/-  2.173693E-05
1.815000E+02 4.782610E-03 +/-  2.112740E-05
1.825000E+02 4.665614E-03 +/-  2.190526E-05
1.835000E+02 4.569961E-03 +/-  2.170887E-05
1.845000E+02 4.405753E-03 +/-  2.104452E-05
1.855000E+02 4.301854E-03 +/-  2.070533E-05
1.865000E+02 4.200265E-03 +/-  2.095594E-05
1.875000E+02 4.060366E-03 +/-  2.025604E-05
1.885000E+02 3.995645E-03 +/-  1.987016E-05
1.895000E+02 3.885232E-03 +/-  1.939540E-05
1.905000E+02 3.774153E-03 +/-  1.879270E-05
1.915000E+02 3.685333E-03 +/-  1.825056E-05
1.925000E+02 3.614561E-03 +/-  1.796438E-05
1.935000E+02 3.515197E-03 +/-  1.812286E-05
1.945000E+02 3.378682E-03 +/-  1.773724E-05
1.955000E+02 3.346389E-03 +/-  1.813119E-05
1.965000E+02 3.264386E-03 +/-  1.772676E-05
1.975000E+02 3.167908E-03 +/-  1.710902E-05
1.985000E+02 3.111359E-03 +/-  1.670756E-05
1.995000E+02 3.030091E-03 +/-  1.625244E-05
2.005000E+02 2.959725E-03 +/-  1.626793E-05
2.015000E+02 2.886292E-03 +/-  1.676001E-05
2.025000E+02 2.829936E-03 +/-  1.651355E-05
2.035000E+02 2.769323E-03 +/-  1.592309E-05
2.045000E+02 2.664314E-03 +/-  1.517582E-05
2.055000E+02 2.639768E-03 +/-  1.532345E-05
2.065000E+02 2.573301E-03 +/-  1.507105E-05
2.075000E+02 2.517816E-03 +/-  1.490783E-05
2.085000E+02 2.503451E-03 +/-  1.486752E-05
2.095000E+02 2.413236E-03 +/-  1.433347E-05
2.105000E+02 2.344696E-03 +/-  1.388340E-05
2.115000E+02 2.302890E-03 +/-  1.403197E-05
2.125000E+02 2.237215E-03 +/-  1.401302E-05
2.135000E+02 2.202194E-03 +/-  1.376278E-05
2.145000E+02 2.146896E-03 +/-  1.337550E-05
2.155000E+02 2.103826E-03 +/-  1.297667E-05
2.165000E+02 2.047201E-03 +/-  1.275548E-05
2.175000E+02 1.995926E-03 +/-  1.235346E-05
2.185000E+02 2.004065E-03 +/-  1.251432E-05
2.195000E+02 1.918082E-03 +/-  1.182454E-05
2.205000E+02 1.892684E-03 +/-  1.174542E-05
2.215000E+02 1.861001E-03 +/-  1.159222E-05
2.225000E+02 1.814336E-03 +/-  1.213817E-05
2.235000E+02 1.781727E-03 +/-  1.259475E-05
2.245000E+02 1.730802E-03 +/-  1.217127E-05
2.255000E+02 1.707693E-03 +/-  1.201234E-05
2.265000E+02 1.650747E-03 +/-  1.162088E-05
2.275000E+02 1.635432E-03 +/-  1.150319E-05
2.285000E+02 1.604022E-03 +/-  1.124133E-05
2.295000E+02 1.568961E-03 +/-  1.096511E-05
2.305000E+02 1.544067E-03 +/-  1.103868E-05
2.315000E+02 1.519899E-03 +/-  1.057019E-05
2.325000E+02 1.475701E-03 +/-  1.032203E-05
2.335000E+02 1.446461E-03 +/-  1.009710E-05
2.345000E+02 1.423631E-03 +/-  1.058337E-05
2.355000E+02 1.387322E-03 +/-  1.038829E-05
2.365000E+02 1.353461E-03 +/-  1.015443E-05
2.375000E+02 1.337933E-03 +/-  1.017739E-05
2.385000E+02 1.322684E-03 +/-  9.939293E-06
2.395000E+02 1.300589E-03 +/-  9.733277E-06
2.405000E+02 1.272170E-03 +/-  9.507020E-06
2.415000E+02 1.232364E-03 +/-  9.482851E-06
2.425000E+02 1.227695E-03 +/-  9.490500E-06
2.435000E+02 1.185266E-03 +/-  9.069010E-06
2.445000E+02 1.168842E-03 +/-  8.973255E-06
2.455000E+02 1.168143E-03 +/-  8.949867E-06
2.465000E+02 1.134464E-03 +/-  8.765102E-06
2.475000E+02 1.111014E-03 +/-  8.509490E-06
2.485000E+02 1.098292E-03 +/-  8.459505E-06
2.495000E+02 1.064543E-03 +/-  8.032188E-06
2.505000E+02 1.040165E-03 +/-  7.862661E-06
2.515000E+02 1.045781E-03 +/-  7.960108E-06
2.525000E+02 1.009328E-03 +/-  7.637722E-06
2.535000E+02 9.911716E-04 +/-  7.569554E-06
2.545000E+02 9.887923E-04 +/-  7.581106E-06
2.555000E+02 9.549105E-04 +/-  7.172589E-06
2.565000E+02 9.373790E-04 +/-  7.064536E-06
2.575000E+02 9.354436E-04 +/-  7.102370E-06
2.585000E+02 9.153110E-04 +/-  7.978291E-06
2.595000E+02 8.932856E-04 +/-  7.774600E-06
2.605000E+02 8.741789E-04 +/-  7.685907E-06
2.615000E+02 8.525864E-04 +/-  7.299845E-06
2.625000E+02 8.547203E-04 +/-  7.398573E-06
2.635000E+02 8.410665E-04 +/-  7.476205E-06
2.645000E+02 8.173492E-04 +/-  7.258981E-06
2.655000E+02 7.989420E-04 +/-  7.042187E-06
2.665000E+02 8.025692E-04 +/-  7.156376E-06
2.675000E+02 7.759487E-04 +/-  7.002747E-06
2.685000E+02 7.628399E-04 +/-  7.257204E-06
2.695000E+02 7.564050E-04 +/-  7.239189E-06
2.705000E+02 7.407043E-04 +/-  7.121713E-06
2.715000E+02 7.378619E-04 +/-  7.292694E-06
2.725000E+02 7.313748E-04 +/-  7.112369E-06
2.735000E+02 7.119548E-04 +/-  6.959583E-06
2.745000E+02 6.958232E-04 +/-  6.715747E-06
2.755000E+02 6.850122E-04 +/-  6.599857E-06
2.765000E+02 6.669489E-04 +/-  6.321105E-06
2.775000E+02 6.646566E-04 +/-  6.422178E-06
2.785000E+02 6.520047E-04 +/-  6.160143E-06
2.795000E+02 6.433231E-04 +/-  6.116744E-06
2.805000E+02 6.278653E-04 +/-  6.000003E-06
2.815000E+02 6.072039E-04 +/-  5.753174E-06
2.825000E+02 6.101904E-04 +/-  5.760198E-06
2.835000E+02 5.910365E-04 +/-  5.577724E-06
2.845000E+02 5.908253E-04 +/-  5.582035E-06
2.855000E+02 5.837183E-04 +/-  5.458761E-06
2.865000E+02 5.731606E-04 +/-  5.429780E-06
2.875000E+02 5.722575E-04 +/-  5.547976E-06
2.885000E+02 5.552299E-04 +/-  5.206693E-06
2.895000E+02 5.409463E-04 +/-  5.066931E-06
2.905000E+02 5.350261E-04 +/-  5.180620E-06
2.915000E+02 5.307576E-04 +/-  5.096522E-06
2.925000E+02 5.176061E-04 +/-  4.936162E-06
2.935000E+02 5.237720E-04 +/-  5.084644E-06
2.945000E+02 5.021649E-04 +/-  4.804921E-06
2.955000E+02 5.017322E-04 +/-  4.849620E-06
2.965000E+02 4.931591E-04 +/-  4.712786E-06
2.975000E+02 4.819973E-04 +/-  4.649044E-06
2.985000E+02 4.633843E-04 +/-  4.340428E-06
2.995000E+02 4.743156E-04 +/-  4.572648E-06
3.005000E+02 4.534658E-04 +/-  4.346696E-06
3.015000E+02 4.517133E-04 +/-  4.302078E-06
3.025000E+02 4.527645E-04 +/-  4.277271E-06
3.035000E+02 4.467743E-04 +/-  4.277322E-06
3.045000E+02 4.307952E-04 +/-  4.075164E-06
3.055000E+02 4.288887E-04 +/-  4.071369E-06
3.065000E+02 4.263554E-04 +/-  4.038708E-06
3.075000E+02 4.122021E-04 +/-  3.870448E-06
3.085000E+02 4.064112E-04 +/-  3.795851E-06
3.095000E+02 4.036658E-04 +/-  3.819769E-06
3.105000E+02 3.964284E-04 +/-  3.755675E-06
3.115000E+02 3.919337E-04 +/-  3.625545E-06
3.125000E+02 3.904775E-04 +/-  3.676860E-06
3.135000E+02 3.816228E-04 +/-  3.593399E-06
3.145000E+02 3.774940E-04 +/-  3.540424E-06
3.155000E+02 3.769514E-04 +/-  3.589453E-06
3.165000E+02 3.698374E-04 +/-  3.496270E-06
3.175000E+02 3.573254E-04 +/-  3.310243E-06
3.185000E+02 3.578685E-04 +/-  3.331969E-06
3.195000E+02 3.548099E-04 +/-  3.370666E-06
